symbol,date,adjClose,mult,logMult
FB,2015-01-02 00:00:00+00:00,78.45,0.9923644693306185,-0.007664830575862411
FB,2015-01-05 00:00:00+00:00,77.19,0.9903821492690433,-0.009664400973278777
FB,2015-01-06 00:00:00+00:00,76.15,0.9939142820147611,-0.0061043114416733804
FB,2015-01-07 00:00:00+00:00,76.15,0.9997394476289733,-0.00026058632069299694
FB,2015-01-08 00:00:00+00:00,78.175,1.0190252801667972,0.018846562732459257
FB,2015-01-09 00:00:00+00:00,77.74,0.9953964194373401,-0.004614209673515787
FB,2015-01-12 00:00:00+00:00,76.72,0.9921634121274409,-0.007867455296577166
FB,2015-01-13 00:00:00+00:00,76.45,0.989511847727567,-0.010543540562418668
FB,2015-01-14 00:00:00+00:00,76.28,0.9997382884061764,-0.0002617458462790769
FB,2015-01-15 00:00:00+00:00,74.05,0.9691099476439791,-0.03137720846717804
FB,2015-01-16 00:00:00+00:00,75.18,1.0226904376012964,0.02243683863582516
FB,2015-01-20 00:00:00+00:00,76.24,1.00581088219757,0.005794064141987757
FB,2015-01-21 00:00:00+00:00,76.74,1.0132615546218489,0.013174389986401924
FB,2015-01-22 00:00:00+00:00,77.65,1.0062200336918492,0.006200769125184436
FB,2015-01-23 00:00:00+00:00,77.83,1.004249839021249,0.004240833959755089
FB,2015-01-26 00:00:00+00:00,77.495,0.9837137727622466,-0.01642030558324647
FB,2015-01-27 00:00:00+00:00,75.78,1.0024768609047061,0.002473798540393425
FB,2015-01-28 00:00:00+00:00,76.24,0.9993498049414823,-0.0006504065269935782
FB,2015-01-29 00:00:00+00:00,78.0,1.014964216005205,0.014853356704986956
FB,2015-01-30 00:00:00+00:00,75.91,0.9757692307692307,-0.024529164410291588
FB,2015-02-02 00:00:00+00:00,74.99,0.987912232295362,-0.012161418889364683
FB,2015-02-03 00:00:00+00:00,75.4,0.9986700359090306,-0.0013308492781428656
FB,2015-02-04 00:00:00+00:00,75.63,1.0082567585563988,0.008222858003422583
FB,2015-02-05 00:00:00+00:00,75.615,0.999603751155726,-0.0003963273715922463
FB,2015-02-06 00:00:00+00:00,74.47,0.9784619450317124,-0.02177338402981517
FB,2015-02-09 00:00:00+00:00,74.44,1.0108035111411209,0.01074557015182959
FB,2015-02-10 00:00:00+00:00,75.19,1.0032064128256515,0.003201283246155355
FB,2015-02-11 00:00:00+00:00,76.51,1.023571713943268,0.02329819102490533
FB,2015-02-12 00:00:00+00:00,76.23,0.9947957325006505,-0.005217856868431224
FB,2015-02-13 00:00:00+00:00,75.74,0.984828668584881,-0.015287593462418772
FB,2015-02-17 00:00:00+00:00,75.6,1.008499335989376,0.008463419997808454
FB,2015-02-18 00:00:00+00:00,76.71,1.0137740321306294,0.01368003233728
FB,2015-02-19 00:00:00+00:00,79.42,1.033304756709012,0.032762167642859476
FB,2015-02-20 00:00:00+00:00,79.895,1.0051539912005027,0.005140754848403362
FB,2015-02-23 00:00:00+00:00,78.84,0.9817408704352177,-0.018427884843836433
FB,2015-02-24 00:00:00+00:00,78.45,1.0,0.0
FB,2015-02-25 00:00:00+00:00,79.56,1.0175796178343948,0.017426883759251582
FB,2015-02-26 00:00:00+00:00,80.41,1.010015022533801,0.009965204538396786
FB,2015-02-27 00:00:00+00:00,78.97,0.9791769955379276,-0.021042860618989558
FB,2015-03-02 00:00:00+00:00,79.75,1.0077215189873419,0.007691860633465414
FB,2015-03-03 00:00:00+00:00,79.6,0.9961060168320562,-0.0039015844596845565
FB,2015-03-04 00:00:00+00:00,80.895,1.0243379571248425,0.024046508422060357
FB,2015-03-05 00:00:00+00:00,81.21,0.9959374615289918,-0.004070812998416469
FB,2015-03-06 00:00:00+00:00,80.005,0.984919653893696,-0.015195210788103175
FB,2015-03-09 00:00:00+00:00,79.44,0.9851907630522088,-0.01491998848798012
FB,2015-03-10 00:00:00+00:00,77.55,0.9910828025477707,-0.008957193604016828
FB,2015-03-11 00:00:00+00:00,77.57,1.0038560411311053,0.003848625661294235
FB,2015-03-12 00:00:00+00:00,78.93,1.0064020486555698,0.006381642589520611
FB,2015-03-13 00:00:00+00:00,78.05,0.9918575063613232,-0.00817582479580076
FB,2015-03-16 00:00:00+00:00,78.07,1.0051308363263212,0.005117718436979916
FB,2015-03-17 00:00:00+00:00,79.365,1.0113578356304236,0.011293819681049892
FB,2015-03-18 00:00:00+00:00,80.91,1.023596214511041,0.02332212708548313
FB,2015-03-19 00:00:00+00:00,82.75,1.0279832347140039,0.02759885825602089
FB,2015-03-20 00:00:00+00:00,83.8,1.0063556781388656,0.006335565989147796
FB,2015-03-23 00:00:00+00:00,84.43,1.0094137273593897,0.009369694355417657
FB,2015-03-24 00:00:00+00:00,85.31,1.0093259355447999,0.009282717499254946
FB,2015-03-25 00:00:00+00:00,82.92,0.9674853801169591,-0.033054965182595535
FB,2015-03-26 00:00:00+00:00,83.01,1.0079787234042552,0.00794706169253172
FB,2015-03-27 00:00:00+00:00,83.3,1.0051571120172704,0.005143859658164084
FB,2015-03-30 00:00:00+00:00,83.195,0.9891421071471185,-0.010917269969565534
FB,2015-03-31 00:00:00+00:00,82.215,0.9951749095295536,-0.004836768800614105
FB,2015-04-01 00:00:00+00:00,81.665,0.996969696969697,-0.003034903695154047
FB,2015-04-02 00:00:00+00:00,81.555,0.982370820668693,-0.01778642411843162
FB,2015-04-06 00:00:00+00:00,82.44,1.0228960396039606,0.022637858739983672
FB,2015-04-07 00:00:00+00:00,82.32,0.9997580157289775,-0.00024201355394032074
